Comentario de línea, Texto: ~~impresion
TOKEN: Clase 5 (Palabra reservada), Valor: 10, Texto: int
TOKEN: Clase 8 (Identificador), Valor: 0, Texto: main
TOKEN: Clase 3 (Símbolo especial), Valor: 40, Texto: (
TOKEN: Clase 3 (Símbolo especial), Valor: 41, Texto: )
TOKEN: Clase 3 (Símbolo especial), Valor: 123, Texto: {
TOKEN: Clase 5 (Palabra reservada), Valor: 16, Texto: unsigned
TOKEN: Clase 5 (Palabra reservada), Valor: 2, Texto: char
TOKEN: Clase 8 (Identificador), Valor: 1, Texto: x1
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
TOKEN: Clase 5 (Palabra reservada), Valor: 13, Texto: short
TOKEN: Clase 5 (Palabra reservada), Valor: 10, Texto: int
TOKEN: Clase 8 (Identificador), Valor: 2, Texto: a2B
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
TOKEN: Clase 5 (Palabra reservada), Valor: 7, Texto: float
TOKEN: Clase 8 (Identificador), Valor: 3, Texto: a
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
TOKEN: Clase 5 (Palabra reservada), Valor: 10, Texto: int
TOKEN: Clase 8 (Identificador), Valor: 4, Texto: x
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
TOKEN: Clase 5 (Palabra reservada), Valor: 7, Texto: float
TOKEN: Clase 8 (Identificador), Valor: 5, Texto: y
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
Comentario de línea, Texto: ~~definicion de y
TOKEN: Clase 8 (Identificador), Valor: 3, Texto: a
TOKEN: Clase 6 (Operador de asignación), Valor: 1, Texto: +=
TOKEN: Clase 8 (Identificador), Valor: 1, Texto: x1
TOKEN: Clase 2 (Operador aritmético), Valor: 7, Texto: **
TOKEN: Clase 0 (Constante numérica entera), Valor: 3, Texto: 3
TOKEN: Clase 2 (Operador aritmético), Valor: 0, Texto: +
TOKEN: Clase 8 (Identificador), Valor: 2, Texto: a2B
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
TOKEN: Clase 8 (Identificador), Valor: 6, Texto: B
TOKEN: Clase 6 (Operador de asignación), Valor: 0, Texto: =
TOKEN: Clase 4 (Constante cadena), Valor: 0, Texto: #a#
TOKEN: Clase 3 (Símbolo especial), Valor: 59, Texto: ;
TOKEN: Clase 5 (Palabra reservada), Valor: 9, Texto: if
TOKEN: Clase 3 (Símbolo especial), Valor: 40, Texto: (
TOKEN: Clase 3 (Símbolo especial), Valor: 40, Texto: (
TOKEN: Clase 8 (Identificador), Valor: 4, Texto: x
TOKEN: Clase 3 (Símbolo especial), Valor: 41, Texto: )
TOKEN: Clase 7 (Operador lógico), Valor: 1, Texto: ||
TOKEN: Clase 3 (Símbolo especial), Valor: 40, Texto: (
TOKEN: Clase 8 (Identificador), Valor: 3, Texto: a
TOKEN: Clase 3 (Símbolo especial), Valor: 41, Texto: )
TOKEN: Clase 3 (Símbolo especial), Valor: 41, Texto: )
TOKEN: Clase 3 (Símbolo especial), Valor: 123, Texto: {
Comentario de línea, Texto: ~~impresion2
Comentario de línea, Texto: ~~printf(#Hola Mundo#);
TOKEN: Clase 5 (Palabra reservada), Valor: 12, Texto: return
TOKEN: Clase 3 (Símbolo especial), Valor: 40, Texto: (
TOKEN: Clase 0 (Constante numérica entera), Valor: 1, Texto: 1
TOKEN: Clase 3 (Símbolo especial), Valor: 41, Texto: )
